"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","39/1860","109/9399",0.357798165137615,1.80803492157443,4.21456584453175,6.62413911571107e-05,0.00136379334735228,0.00101310362946169,"207/841/942/1147/3627/3576/4283/3455/3553/3654/51135/3661/3665/3725/3929/23643/5605/6416/5609/6885/6300/1432/5595/5599/4790/5296/5970/6696/6772/10454/7096/7097/7099/7100/10333/51311/54472/7187/7297",39
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","74/1860","248/9399",0.298387096774194,1.50781737773153,4.02546858815964,8.35657050256152e-05,0.00162488870883141,0.00120706018370333,"10006/10096/653857/79026/207/26084/55207/581/596/330/836/837/838/841/1147/3576/26999/9266/1639/10540/1783/79659/140735/83658/9844/55770/60412/79443/79792/3265/3326/3553/3654/51135/3725/64837/89953/3836/51176/23643/4074/5605/6416/5609/6885/6300/1432/5595/5599/4636/10398/4671/3071/4790/5294/5585/5788/29108/5970/399/8767/6237/257364/8677/10454/83439/7097/7099/7100/10333/8743/8717/7186/25828",74
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","52/1860","163/9399",0.319018404907975,1.61207203641401,3.91535999674734,0.00015104420499585,0.00278239324992356,0.00206692069994321,"207/1388/537/572/581/596/843/836/841/1147/3576/1871/1960/356/3265/3339/64135/3654/51135/3661/3665/3717/3725/5605/6416/5609/4214/6885/6300/1432/5595/5599/4318/4773/4776/4790/5296/5579/2185/5925/5970/6655/6772/6775/10454/7040/7043/7048/7097/7099/7187/7297",52
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","93/1860","333/9399",0.279279279279279,1.41126126126126,3.79532860126474,0.000168857005171453,0.00295499759050044,0.0021951410672289,"207/10297/472/537/527/8992/523/526/545/8312/572/581/836/841/595/894/1019/1147/1284/1286/1291/1292/256076/1297/1298/1299/1452/1741/1855/1856/1857/1978/356/7855/8323/8324/8325/3280/57801/84667/23462/26508/3134/3265/3455/3659/3661/3672/3675/3676/3655/3679/3911/3913/3955/3996/5605/5595/2475/4790/4854/4855/8638/84612/5296/5523/28227/55012/5526/5528/5567/5743/5925/11317/5970/5986/23513/6655/6696/6772/387332/83439/7060/7148/8717/7187/7249/7283/7297/7337/23352/7422/51384",93
"hsa04660","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","41/1860","122/9399",0.336065573770492,1.69821523003702,3.85551836018998,0.000214316111781609,0.00357193519636016,0.00265343757443897,"207/940/915/925/1019/1147/1493/9402/3265/29851/3458/3702/3725/3937/10892/5605/5609/6885/6300/1432/5595/5599/4690/4773/4790/4793/10298/5296/5523/28227/55012/5526/5528/5533/5588/5781/5788/10125/5970/6655/7535",41
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","68/1860","233/9399",0.291845493562232,1.47476117956528,3.64485751106223,0.000324889775263942,0.0048893145586884,0.0036320622435971,"375790/270/477/478/633/829/1302/85301/1284/1286/1289/50509/1291/1292/256076/1297/1298/1299/1605/1674/1824/1829/2006/2010/2026/2275/2318/3339/64423/3672/3675/3676/3655/3679/3728/3930/4000/84823/56203/4629/79784/57644/4627/4636/10398/91977/84665/22795/84033/9260/5339/6382/6442/6640/6709/6711/57731/51332/25777/23224/161176/7060/7138/7140/7169/84675/7273/1462",68
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","59/1860","196/9399",0.301020408163265,1.52112409479921,3.66202916877814,0.000328551525449538,0.0048893145586884,0.0036320622435971,"207/581/808/836/841/595/1230/942/1019/1147/2919/2920/2921/3576/1871/2783/2790/3091/3134/3265/3455/3459/3661/3665/3708/3709/3717/3725/51176/4067/84557/5605/6416/5609/6300/1432/5595/5599/9261/100507436/2475/4773/4776/4790/5155/5294/5296/5533/5743/5925/5970/6772/6850/83439/8717/7186/7187/7297/7422",59
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","44/1860","136/9399",0.323529411764706,1.63486717267552,3.7041947713575,0.000335267284024347,0.0048893145586884,0.0036320622435971,"207/572/581/27113/596/836/841/595/894/940/915/4179/1019/1147/1460/356/3303/3304/64135/3455/3553/3559/3560/3561/3654/51135/3661/3665/3725/6885/5599/4790/4793/4940/5296/5970/6504/6772/7097/7099/7161/8717/7187/7297",44
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","18/1860","41/9399",0.439024390243902,2.21848937844217,3.88364456975831,0.000373945224521626,0.00523523314330276,0.00388903033502491,"595/999/1019/3576/1613/1871/2064/1839/3265/5605/5595/4312/4313/4318/11186/5925/1890/7422",18
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","35/1860","103/9399",0.339805825242718,1.71711556529909,3.63477075225379,0.000477986172729069,0.00643442924827593,0.00477986172729069,"477/478/1300/1302/1305/1307/80781/169044/85301/340267/1284/1286/1289/50509/1291/1292/256076/1294/1296/1297/1298/1299/1504/2006/3783/4311/643834/643847/5222/5644/6564/120103/54407/6546/6550",35
